TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE
80785,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,5,FRPE,Manhattan,10037
80782,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,5,FRPE,Manhattan,10037
80787,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,6,FRPE,Manhattan,10037
80793,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,7,PYCA,Manhattan,10037
80797,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,6,FRPE,Manhattan,10037
80807,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,8,PYCA,Manhattan,10037
80811,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,7,FRPE,Manhattan,10037
80816,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,8,STJA2,Manhattan,10037
80789,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,6,PYCA,Manhattan,10037
80794,LENOX AVENUE,WEST  132 STREET,WEST  131 STREET,2,6,FRPE,Manhattan,10037
80804,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,7,FRPE,Manhattan,10037
80809,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,8,PYCA,Manhattan,10037
80814,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,6,STJA2,Manhattan,10037
80819,LENOX AVENUE,WEST  132 STREET,WEST  133 STREET,2,6,STJA2,Manhattan,10037
80824,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,7,ZESE,Manhattan,10027
80831,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,3,PYCA,Manhattan,10027
80822,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,4,PLAC,Manhattan,10027
80826,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,7,ZESE,Manhattan,10027
80832,WEST  122 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,3,TICO,Manhattan,10027
80836,WEST  122 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,3,5,PYCA,Manhattan,10027
80839,WEST  122 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,3,4,PYCA,Manhattan,10027
80843,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,6,LIST,Manhattan,10027
80846,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,7,ZESE,Manhattan,10027
80857,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,12,PLAC,Manhattan,10027
80834,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,3,6,PYCA,Manhattan,10027
80838,ADAM C POWELL BOULEVARD,WEST  132 STREET,WEST  131 STREET,2,8,ZESE,Manhattan,10027
80842,WEST  122 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,4,PYCA,Manhattan,10027
80845,WEST  122 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,6,PYCA,Manhattan,10027
80855,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,12,PLAC,Manhattan,10027
80859,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,3,14,GLTR,Manhattan,10027
80863,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,3,3,PRCE,Manhattan,10027
80866,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,3,5,PYCA,Manhattan,10027
80862,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,9,GLTR,Manhattan,10027
80864,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,3,13,STJA2,Manhattan,10027
80867,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,8,GLTR,Manhattan,10027
80869,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,16,GLTR,Manhattan,10027
80871,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,3,PYCA,Manhattan,10027
80873,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,2,3,ULPA,Manhattan,10027
80875,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,2,13,ULAM,Manhattan,10027
80878,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,2,12,ULPA,Manhattan,10027
80868,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,2,3,PYCA,Manhattan,10027
80870,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,2,13,ULAM,Manhattan,10027
80872,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,2,17,ULAM,Manhattan,10027
80874,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,15,STJA2,Manhattan,10027
80876,WEST  132 STREET,FRED DOUGLASS BOULEVARD,ADAM C POWELL BOULEVARD,2,11,GLTR,Manhattan,10027
80880,ADAM C POWELL BOULEVARD,WEST  130 STREET,WEST  131 STREET,3,7,GIBI,Manhattan,10027
80888,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,4,PYCA,Manhattan,10027
80891,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,4,TADI,Manhattan,10027
80886,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,10,TICO,Manhattan,10027
80889,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,7,TICO,Manhattan,10027
80893,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,4,PYCA,Manhattan,10027
80896,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,13,PYCA,Manhattan,10027
80901,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,14,PYCA,Manhattan,10027
80907,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,1,3,QUPA,Manhattan,10027
80910,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,6,TICO,Manhattan,10027
80915,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,15,GIBI,Manhattan,10027
80895,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,4,TADI,Manhattan,10027
80900,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,5,TADI,Manhattan,10027
80906,WEST  131 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,5,TADI,Manhattan,10027
80909,WEST  129 STREET,LENOX AVENUE,ADAM C POWELL BOULEVARD,2,4,PYCA,Manhattan,10027
